country_name,country_code,region_name,region_code,term,score,rank,refresh_date,week
Mexico,MX,Hidalgo,MX-HID,espanyol vs barcelona,,9,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,cch naucalpan,,10,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,pensión,85,11,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,champions femenina,,12,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,bukele,,13,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,atlético san luis - cruz azul,,14,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,dia del padre 2025,100,15,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,man city - chelsea,,16,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,contingencia ambiental cdmx no circula,,17,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,valentina gilabert,44,18,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,gertz manero,,19,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,nick kyrgios,87,20,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,equinoccio de primavera 2025,,21,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,shakira cdmx,29,22,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,ana de armas,8,23,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,eliminatorias,,24,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,blanca nieves,22,25,2025-03-19,2025-03-02
Mexico,MX,Hidalgo,MX-HID,dia del hombre en mexico,,1,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,boletiworld puebla,,2,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,barcelona vs espanyol,,3,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,chelsea femenino,,4,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,liga de campeones femenina de la uefa,,5,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,calidad del aire monterrey,,6,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,starbucks x peanuts,,7,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,gerardo ortiz,,8,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,espanyol vs barcelona,,9,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,cch naucalpan,,10,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,pensión,66,11,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,champions femenina,,12,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,bukele,,13,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,atlético san luis - cruz azul,,14,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,dia del padre 2025,,15,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,man city - chelsea,,16,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,contingencia ambiental cdmx no circula,,17,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,valentina gilabert,,18,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,gertz manero,,19,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,nick kyrgios,,20,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,equinoccio de primavera 2025,,21,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,shakira cdmx,,22,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,ana de armas,,23,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,eliminatorias,,24,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,blanca nieves,,25,2025-03-19,2025-02-23
Mexico,MX,Hidalgo,MX-HID,dia del hombre en mexico,,1,2025-03-19,2025-02-16
Mexico,MX,Hidalgo,MX-HID,boletiworld puebla,,2,2025-03-19,2025-02-16
Mexico,MX,Hidalgo,MX-HID,barcelona vs espanyol,,3,2025-03-19,2025-02-16
Mexico,MX,Hidalgo,MX-HID,chelsea femenino,,4,2025-03-19,2025-02-16
Mexico,MX,Hidalgo,MX-HID,liga de campeones femenina de la uefa,,5,2025-03-19,2025-02-16
Mexico,MX,Hidalgo,MX-HID,calidad del aire monterrey,,6,2025-03-19,2025-02-16
Mexico,MX,Hidalgo,MX-HID,starbucks x peanuts,,7,2025-03-19,2025-02-16
